
                                        èéãÖ èãéíçéëíà åéôçéëíà

       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18      19      20
 51      .0      .2      .8     1.9     3.4     5.5     8.2    11.6    15.8    20.9    26.8    33.6    41.3    49.8    58.9    68.5    78.4    88.4    98.3   107.8
 50      .4      .6     1.2     2.3     3.8     5.9     8.7    12.1    16.3    21.4    27.4    34.4    42.2    50.7    60.0    69.7    79.7    89.7    99.6   109.2
 49     1.6     1.8     2.4     3.5     5.1     7.2    10.0    13.5    17.9    23.2    29.4    36.6    44.8    53.7    63.3    73.3    83.5    93.7   103.7   113.3
 48     3.5     3.7     4.3     5.4     7.0     9.2    12.1    15.8    20.5    26.1    32.9    40.6    49.4    59.0    69.2    79.8    90.4   100.9   111.0   120.5
 47     5.8     6.0     6.6     7.8     9.5    11.8    14.9    19.0    24.1    30.4    38.0    46.7    56.6    67.3    78.5    90.0   101.2   112.0   122.1   131.3
 46     8.1     8.4     9.1    10.3    12.2    14.8    18.3    22.9    28.8    36.2    45.1    55.6    67.3    79.8    92.7   105.4   117.4   128.4   138.1   146.6
 45    10.2    10.5    11.3    12.6    14.7    17.7    21.8    27.3    34.6    43.8    55.2    68.5    83.5    99.1   114.6   128.9   141.5   152.1   160.7   167.6
 44    11.6    11.9    12.8    14.3    16.7    20.2    25.1    32.0    41.3    53.7    69.4    88.2   109.2   130.5   150.0   166.1   178.2   186.7   192.1   195.5
 43    12.0    12.3    13.2    14.9    17.6    21.7    27.6    36.3    48.8    66.4    90.3   120.5   154.3   186.8   212.6   228.7   236.1   237.4   235.2   231.5
 42    11.1    11.4    12.4    14.2    17.1    21.5    28.4    39.1    55.9    82.2   122.4   179.1   246.8   306.9   339.9   343.6   329.9   310.4   291.4   275.0
 41     9.2     9.5    10.4    12.1    15.0    19.5    26.8    39.0    60.2    98.6   170.4   301.5   497.6   658.6   662.3   570.9   476.8   406.0   356.1   321.0
 40     6.7     6.9     7.7     9.2    11.8    15.8    22.6    34.5    57.0   104.4   219.2   698.4   698.4   698.4   698.4   967.0   650.1   496.1   410.5   357.9
 39     4.2     4.4     5.0     6.3     8.3    11.5    16.7    26.0    44.0    84.2   192.4   698.4   698.4   698.4   698.4  1095.1   689.2   517.1   426.6   372.2
 38     2.2     2.4     2.9     3.9     5.4     7.6    11.0    16.6    26.8    48.2    98.7   228.8   698.4   698.4   832.6   659.9   531.9   450.6   397.6   361.0
 37     1.0     1.1     1.6     2.4     3.5     5.0     6.8     9.3    13.3    20.9    37.7    74.8   144.0   236.8   315.2   355.6   366.0   361.0   349.7   336.5
 36      .5      .7     1.1     1.8     2.7     3.6     4.5     5.1     5.6     6.8    11.7    26.0    57.3   108.1   169.9   227.9   271.4   298.2   311.2   314.6
 35      .8      .9     1.4     2.0     2.7     3.4     3.8     3.5     2.5     1.3     2.5    11.1    33.7    74.2   128.8   186.7   236.7   272.9   294.8   305.3
